Store's Types;City;DATE;UnitsSold
ECI stores;BADAJOZ;11/03/2019;138
ECI stores;BADAJOZ;12/03/2019;171
ECI stores;BADAJOZ;13/03/2019;48
ECI stores;BADAJOZ;14/03/2019;66
ECI stores;BADAJOZ;15/03/2019;147
ECI stores;BADAJOZ;16/03/2019;291
ECI stores;BADAJOZ;18/03/2019;57
ECI stores;BADAJOZ;19/03/2019;129
ECI stores;BADAJOZ;20/03/2019;90
ECI stores;BADAJOZ;21/03/2019;123
ECI stores;BADAJOZ;22/03/2019;114
ECI stores;BADAJOZ;23/03/2019;357
ECI stores;BADAJOZ;26/03/2019;57
ECI stores;BADAJOZ;27/03/2019;81
ECI stores;BADAJOZ;28/03/2019;114
ECI stores;BADAJOZ;29/03/2019;195
ECI stores;BADAJOZ;30/03/2019;234
ECI stores;BADAJOZ;01/04/2019;114
ECI stores;BADAJOZ;02/04/2019;105
ECI stores;BADAJOZ;03/04/2019;96
ECI stores;BADAJOZ;04/04/2019;66
ECI stores;BADAJOZ;05/04/2019;138
ECI stores;BADAJOZ;06/04/2019;324
ECI stores;BADAJOZ;07/04/2019;81
ECI stores;BADAJOZ;08/04/2019;48
ECI stores;BADAJOZ;09/04/2019;114
ECI stores;BADAJOZ;10/04/2019;114
ECI stores;BADAJOZ;11/04/2019;153
ECI stores;BADAJOZ;12/04/2019;204
ECI stores;BADAJOZ;13/04/2019;309
ECI stores;BADAJOZ;15/04/2019;153
ECI stores;BADAJOZ;16/04/2019;252
ECI stores;BADAJOZ;17/04/2019;138
ECI stores;BADAJOZ;18/04/2019;153
ECI stores;BADAJOZ;20/04/2019;147
ECI stores;BARCELONA;01/03/2019;219
ECI stores;BARCELONA;02/03/2019;252
ECI stores;BARCELONA;04/03/2019;171
ECI stores;BARCELONA;05/03/2019;114
ECI stores;BARCELONA;06/03/2019;90
ECI stores;BARCELONA;07/03/2019;123
ECI stores;BARCELONA;08/03/2019;186
ECI stores;BARCELONA;09/03/2019;210
ECI stores;BARCELONA;11/03/2019;48
ECI stores;BARCELONA;12/03/2019;48
ECI stores;BARCELONA;13/03/2019;33
ECI stores;BARCELONA;15/03/2019;129
ECI stores;BARCELONA;16/03/2019;252
ECI stores;BARCELONA;18/03/2019;90
ECI stores;BARCELONA;19/03/2019;66
ECI stores;BARCELONA;20/03/2019;57
ECI stores;BARCELONA;21/03/2019;96
ECI stores;BARCELONA;22/03/2019;123
ECI stores;BARCELONA;23/03/2019;381
ECI stores;BARCELONA;25/03/2019;90
ECI stores;BARCELONA;26/03/2019;105
ECI stores;BARCELONA;27/03/2019;42
ECI stores;BARCELONA;28/03/2019;162
ECI stores;BARCELONA;29/03/2019;129
ECI stores;BARCELONA;30/03/2019;228
ECI stores;BARCELONA;01/04/2019;2
ECI stores;BARCELONA;02/04/2019;72
ECI stores;BARCELONA;03/04/2019;186
ECI stores;BARCELONA;04/04/2019;195
ECI stores;BARCELONA;05/04/2019;105
ECI stores;BARCELONA;06/04/2019;357
ECI stores;BARCELONA;08/04/2019;66
ECI stores;BARCELONA;09/04/2019;48
ECI stores;BARCELONA;10/04/2019;114
ECI stores;BARCELONA;11/04/2019;66
ECI stores;BARCELONA;12/04/2019;186
ECI stores;BARCELONA;13/04/2019;267
ECI stores;BARCELONA;15/04/2019;66
ECI stores;BARCELONA;16/04/2019;315
ECI stores;BARCELONA;17/04/2019;57
ECI stores;BARCELONA;18/04/2019;171
ECI stores;BARCELONA;20/04/2019;81
ECI stores;BURGOS;01/03/2019;105
ECI stores;BURGOS;02/03/2019;72
ECI stores;BURGOS;04/03/2019;66
ECI stores;BURGOS;05/03/2019;33
ECI stores;BURGOS;06/03/2019;33
ECI stores;BURGOS;07/03/2019;33
ECI stores;BURGOS;08/03/2019;2
ECI stores;BURGOS;09/03/2019;138
ECI stores;BURGOS;11/03/2019;57
ECI stores;BURGOS;12/03/2019;81
ECI stores;BURGOS;13/03/2019;33
ECI stores;BURGOS;14/03/2019;48
ECI stores;BURGOS;15/03/2019;90
ECI stores;BURGOS;16/03/2019;57
ECI stores;BURGOS;18/03/2019;48
ECI stores;BURGOS;19/03/2019;2
ECI stores;BURGOS;20/03/2019;66
ECI stores;BURGOS;21/03/2019;24
ECI stores;BURGOS;22/03/2019;48
ECI stores;BURGOS;23/03/2019;33
ECI stores;BURGOS;25/03/2019;72
ECI stores;BURGOS;26/03/2019;24
ECI stores;BURGOS;27/03/2019;48
ECI stores;BURGOS;28/03/2019;96
ECI stores;BURGOS;30/03/2019;42
ECI stores;BURGOS;01/04/2019;24
ECI stores;BURGOS;02/04/2019;81
ECI stores;BURGOS;03/04/2019;2
ECI stores;BURGOS;04/04/2019;57
ECI stores;BURGOS;05/04/2019;33
ECI stores;BURGOS;06/04/2019;2
ECI stores;BURGOS;08/04/2019;42
ECI stores;BURGOS;09/04/2019;66
ECI stores;BURGOS;10/04/2019;96
ECI stores;BURGOS;11/04/2019;57
ECI stores;BURGOS;12/04/2019;48
ECI stores;BURGOS;13/04/2019;81
ECI stores;BURGOS;15/04/2019;2
ECI stores;BURGOS;17/04/2019;66
ECI stores;BURGOS;20/04/2019;96
ECI stores;BURGOS;21/04/2019;0
Shopping Center stores;CACERES;01/03/2019;243
Shopping Center stores;CACERES;02/03/2019;663
Shopping Center stores;CACERES;03/03/2019;129
Shopping Center stores;CACERES;04/03/2019;153
Shopping Center stores;CACERES;05/03/2019;267
Shopping Center stores;CACERES;06/03/2019;153
Shopping Center stores;CACERES;07/03/2019;210
Shopping Center stores;CACERES;08/03/2019;396
Shopping Center stores;CACERES;09/03/2019;348
Shopping Center stores;CACERES;11/03/2019;129
Shopping Center stores;CACERES;12/03/2019;48
Shopping Center stores;CACERES;13/03/2019;252
Shopping Center stores;CACERES;14/03/2019;177
Shopping Center stores;CACERES;15/03/2019;186
Shopping Center stores;CACERES;16/03/2019;324
Shopping Center stores;CACERES;18/03/2019;162
Shopping Center stores;CACERES;19/03/2019;153
Shopping Center stores;CACERES;20/03/2019;195
Shopping Center stores;CACERES;21/03/2019;114
Shopping Center stores;CACERES;22/03/2019;186
Shopping Center stores;CACERES;23/03/2019;204
Shopping Center stores;CACERES;25/03/2019;219
Shopping Center stores;CACERES;26/03/2019;96
Shopping Center stores;CACERES;27/03/2019;114
Shopping Center stores;CACERES;28/03/2019;153
Shopping Center stores;CACERES;29/03/2019;252
Shopping Center stores;CACERES;30/03/2019;219
